1,,Group,1,,1,4
8,1,User,8,,2,3
5,,Group,2,,5,8
9,5,User,9,,6,7
10,6,User,10,,10,11
11,7,User,11,,14,15
12,7,User,12,,16,17
6,,Group,3,,9,12
7,,Group,4,,13,18
