1,administrator,2012-01-30 20:48:19,2012-01-30 20:48:19,f
2,manager,2012-01-30 20:49:52,2012-01-30 20:49:52,f
3,program manager,2012-01-30 20:50:00,2012-01-31 08:03:07,t
4,customer,2012-01-30 20:50:08,2012-01-31 08:03:18,t
